t,acc
0,0.068816227
0.02,0.094432132
0.04,0.109244066
0.06,0.127107841
0.08,0.145433431
0.1,0.164749583
0.12,0.184596764
0.14,0.203340719
0.16,0.221694445
0.18,0.237860267
0.2,0.251950273
0.22,0.263695638
0.24,0.271139491
0.26,0.275850789
0.28,0.276801164
0.3,0.273154712
0.32,0.265641389
0.34,0.254116013
0.36,0.238283724
0.38,0.219355528
0.4,0.197138306
0.42,0.172575315
0.44,0.148299181
0.46,0.122495648
0.48,0.098923267
0.5,0.078449977
0.52,0.06012456
0.54,0.046744896
0.56,0.035337696
0.58,0.028891538
0.6,0.024671043
0.62,0.020220735
0.64,0.017748943
0.66,0.011703195
0.68,0.004129757
0.7,-0.004993921
0.72,-0.016575455
0.74,-0.029560348
0.76,-0.045600074
0.78,-0.062668568
0.8,-0.079857511
0.82,-0.097408121
0.84,-0.113030161
0.86,-0.125685783
0.88,-0.1367541
0.9,-0.143300238
0.92,-0.145640144
0.94,-0.144618871
0.96,-0.137912678
0.98,-0.126886526
1,-0.111269637
1.02,-0.090583087
1.04,-0.066703419
1.06,-0.039526537
1.08,-0.010091795
1.1,0.024710494
1.12,0.06136916
1.14,0.094081527
1.16,0.12053899
1.18,0.139099379
1.2,0.147449247
1.22,0.145019331
1.24,0.132201193
1.26,0.109474118
1.28,0.078297355
1.3,0.042066814
1.32,0.002302761
1.34,-0.029718919
1.36,-0.060516291
1.38,-0.089251606
1.4,-0.115123468
1.42,-0.137655439
1.44,-0.156330752
1.46,-0.17219036
1.48,-0.18449299
1.5,-0.193456034
1.52,-0.199301738
1.54,-0.202981041
1.56,-0.206307455
1.58,-0.210597716
1.6,-0.217869932
1.62,-0.227540033
1.64,-0.239002273
1.66,-0.250945622
1.68,-0.260991313
1.7,-0.266827324
1.72,-0.267772408
1.74,-0.262491548
1.76,-0.25042537
1.78,-0.233801544
1.8,-0.211661725
1.82,-0.186859058
1.84,-0.16105139
1.86,-0.136068804
1.88,-0.116364265
1.9,-0.100077763
1.92,-0.090382696
1.94,-0.087008827
1.96,-0.086016647
1.98,-0.088866322
2,-0.092712493
2.02,-0.097201686
2.04,-0.102766946
2.06,-0.107496442
2.08,-0.11455411
2.1,-0.123874359
2.12,-0.13551195
2.14,-0.150778491
2.16,-0.165827756
2.18,-0.179208967
2.2,-0.18910939
2.22,-0.192310433
2.24,-0.190953398
2.26,-0.184103615
2.28,-0.172971904
2.3,-0.157697738
2.32,-0.136185672
2.34,-0.112704407
2.36,-0.087498254
2.38,-0.063684067
2.4,-0.045058433
2.42,-0.030754802
2.44,-0.021679491
2.46,-0.01534113
2.48,-0.008051475
2.5,-0.000462582
2.52,0.010922659
2.54,0.025589023
2.56,0.042733908
2.58,0.063974503
2.6,0.088040059
2.62,0.112312602
2.64,0.136237653
2.66,0.156958168
2.68,0.17318012
2.7,0.183390475
2.72,0.185733584
2.74,0.184647774
2.76,0.1823438
2.78,0.172977761
2.8,0.149438658
2.82,0.106118662
2.84,0.047681307
2.86,-0.014469972
2.88,-0.06705566
2.9,-0.110450814
2.92,-0.144366163
2.94,-0.169306464
2.96,-0.189628584
2.98,-0.207524202
3,-0.215118188
3.02,-0.209720878
3.04,-0.197060685
3.06,-0.189695582
3.08,-0.196202801
3.1,-0.204432924
3.12,-0.198247463
3.14,-0.175250453
3.16,-0.138429082
3.18,-0.093967619
3.2,-0.051590365
3.22,-0.016289265
3.24,0.022800748
3.26,0.077205148
3.28,0.139619149
3.3,0.192820201
3.32,0.223012819
3.34,0.229410781
3.36,0.21402357
3.38,0.183209977
3.4,0.156107264
3.42,0.141246592
3.44,0.127559896
3.46,0.107237296
3.48,0.093591341
3.5,0.106093582
3.52,0.134943063
3.54,0.169451479
3.56,0.229246694
3.58,0.294783335
3.6,0.321902925
3.62,0.319144834
3.64,0.301031927
3.66,0.262401595
3.68,0.210089859
3.7,0.152677668
3.72,0.08568465
3.74,-0.003631216
3.76,-0.096657788
3.78,-0.172544365
3.8,-0.221374408
3.82,-0.243189905
3.84,-0.218294484
3.86,-0.211213049
3.88,-0.266790923
3.9,-0.321283825
3.92,-0.34596524
3.94,-0.310037243
3.96,-0.246158997
3.98,-0.198916767
4,-0.131350635
4.02,-0.08536417
4.04,-0.083688581
4.06,-0.097140647
4.08,-0.071909426
4.1,-0.007861754
4.12,0.014169537
4.14,0.027890595
4.16,-0.016788956
4.18,-0.05823561
4.2,0.022100793
4.22,0.065648939
4.24,0.056148023
4.26,-0.002960164
4.28,-0.013096813
4.3,0.076933307
4.32,0.024186195
4.34,0.068363022
4.36,0.234636875
4.38,0.328567456
4.4,0.384038218
4.42,0.316504322
4.44,0.285189459
4.46,0.319026948
4.48,0.322164494
4.5,0.285825829
4.52,0.389829914
4.54,0.429922972
4.56,0.146277408
4.58,0.061275223
4.6,-0.046835555
4.62,-0.251668047
4.64,-0.37402684
4.66,-0.295554404
4.68,-0.057749794
4.7,-0.380505571
4.72,-0.504979753
4.74,-0.139339921
4.76,0.087724143
4.78,0.325571422
4.8,0.501440214
4.82,0.706569398
4.84,0.484737545
4.86,0.264355143
4.88,0.402973839
4.9,0.141841771
4.92,0.50233271
4.94,0.517962747
4.96,-0.256723856
4.98,-0.054928585
5,0.03833986
5.02,0.143373438
5.04,0.350645288
5.06,0.190024951
5.08,0.367702521
5.1,-0.095187342
5.12,-0.410142615
5.14,-0.190218403
5.16,-0.235798216
5.18,0.073913417
5.2,0.176616585
5.22,-0.18986889
5.24,-0.242136582
5.26,-0.137337224
5.28,-0.072702107
5.3,-0.020735253
5.32,-0.061359459
5.34,-0.12479489
5.36,-0.347698282
5.38,-0.693701738
5.4,-0.85709384
5.42,-0.969840591
5.44,-0.396676481
5.46,0.19791876
5.48,-0.491422786
5.5,-0.992195525
5.52,-1.07258467
5.54,-0.653776193
5.56,0.191863706
5.58,-0.059548588
5.6,0.062521597
5.62,0.321201603
5.64,0.018246508
5.66,0.663649201
5.68,0.4612667
5.7,0.463881555
5.72,1.185509925
5.74,0.658325936
5.76,1.088479561
5.78,0.927590841
5.8,0.437195611
5.82,1.309341915
5.84,0.469543996
5.86,0.255049315
5.88,-0.037080347
5.9,-0.611682842
5.92,0.678246179
5.94,-0.039136925
5.96,-0.213794869
5.98,0.27549285
6,-0.312051605
6.02,0.373522599
6.04,-0.223513187
6.06,-0.713012789
6.08,-0.420311341
6.1,-0.761781417
6.12,-0.215264031
6.14,-0.503962525
6.16,-0.447148866
6.18,0.280071136
6.2,-0.03487348
6.22,0.426087213
6.24,0.635228312
6.26,0.259763356
6.28,0.208413512
6.3,-0.408556876
6.32,-0.625616697
6.34,-0.173207987
6.36,-0.033737835
6.38,-0.149569837
6.4,-0.13910082
6.42,-0.048828042
6.44,-0.181749769
6.46,-0.258544074
6.48,0.061037219
6.5,0.992981501
6.52,1.123137702
6.54,0.224051624
6.56,0.02399037
6.58,0.24431189
6.6,0.436362021
6.62,0.196242356
6.64,-0.428701297
6.66,0.147534362
6.68,0.464456039
6.7,-0.708153345
6.72,-1.605274326
6.74,-1.670227476
6.76,-0.435887578
6.78,0.517829861
6.8,-0.184082149
6.82,-0.314397013
6.84,0.17887454
6.86,0.472447628
6.88,0.577849513
6.9,-0.238679887
6.92,-0.646659423
6.94,0.480511721
6.96,1.06864575
6.98,0.315383776
7,-0.216403547
7.02,0.28867959
7.04,1.358687327
7.06,1.359456898
7.08,0.271824647
7.1,-0.15424611
7.12,0.083620945
7.14,0.188919641
7.16,-0.024881058
7.18,-0.107209604
7.2,0.141063303
7.22,0.330498368
7.24,0.626396108
7.26,0.929401578
7.28,0.670490546
7.3,0.155908908
7.32,0.170596345
7.34,0.420344871
7.36,0.506160516
7.38,1.204998751
7.4,1.757414122
7.42,1.068958048
7.44,0.227424353
7.46,0.056868567
7.48,-0.38316452
7.5,-1.876991496
7.52,-2.583952179
7.54,-1.987482118
7.56,-1.273813261
7.58,-0.951506959
7.6,-1.003460249
7.62,-1.51272502
7.64,-2.789967247
7.66,-2.691355619
7.68,-0.779138472
7.7,0.7255992
7.72,1.105292751
7.74,0.599179253
7.76,0.7376778
7.78,0.891880515
7.8,0.191757813
7.82,0.085909402
7.84,0.263018987
7.86,0.078259104
7.88,-0.215495236
7.9,-0.884702007
7.92,-1.381308849
7.94,-0.762530094
7.96,0.024733218
7.98,0.492728214
8,0.930462238
8.02,0.868296186
8.04,0.790707757
8.06,0.699549935
8.08,0.251914078
8.1,0.025322924
8.12,0.060509364
8.14,0.306497151
8.16,0.738737411
8.18,0.924609202
8.2,0.968284545
8.22,1.067919716
8.24,1.294013242
8.26,1.832620224
8.28,2.112028108
8.3,1.291166739
8.32,-0.058883537
8.34,-1.158341023
8.36,-1.886307175
8.38,-1.715307629
8.4,-1.458115098
8.42,-1.595951769
8.44,-1.417811321
8.46,-1.628904713
